"institutionCode","occurrenceCount","speciesCount"
"WSL",1,1
"TAMU",1,1
"YPM",1,1
"ECOSUR",1,1
NA,1,1
"Cleveland Museum of Natural History, OH (CLEV)",1,1
"UCRC",1,1
"UMN EXT",1,1
"nef",1,1
"NBDC",1,1
"SLU Artdatabanken",1,1
"Bumblebee Conservation Trust",1,1
"naturgucker",1,1
"UTE",1,1
"UMMZ",1,1
"UCMS",1,1
"CAES",1,1
"IBUNAM",1,1
"MNA",1,1
"FinBIF",1,1
"Biological Records Centre",1,1
"CSCF",1,1
"Belgian Biodiversity Platform",1,1
"NMV",1,1
"USP-RP",2,2
"EMEC",2,2
"FC-UNAM",2,2
"FCB-UANL",2,1
"INHS",2,2
"USGS",3,3
"CUIC",3,1
"RLMC",5,3
"iNaturalist",7,5
"BISON",8,6
"ASU",9,1
"AMNH",14,6
"KU",14,10
"USDA-ARS",15,6
